"Kod";"Nazwa";"ogółem;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2018;[zł]";
0201000;"Powiat bolesławiecki";150797;225266;141077;
0202000;"Powiat dzierżoniowski";106541;154228;105239;
0203000;"Powiat głogowski";191268;223613;174284;
0204000;"Powiat górowski";118263;0;118263;
0205000;"Powiat jaworski";148014;0;148081;
0206000;"Powiat jeleniogórski";205031;353253;143596;
0207000;"Powiat kamiennogórski";83319;0;82756;
0208000;"Powiat kłodzki";145697;313580;113585;
0209000;"Powiat legnicki";128212;167079;124546;
0210000;"Powiat lubański";114462;156640;111578;
0211000;"Powiat lubiński";191986;249893;166747;
0212000;"Powiat lwówecki";84001;0;84001;
0213000;"Powiat milicki";158019;325994;141632;
0214000;"Powiat oleśnicki";184399;230959;162090;
0215000;"Powiat oławski";200109;216752;192537;
0216000;"Powiat polkowicki";153270;231687;141751;
0217000;"Powiat strzeliński";168462;215568;144067;
0218000;"Powiat średzki";212386;238520;186769;
0219000;"Powiat świdnicki";161521;239249;139883;
0220000;"Powiat trzebnicki";198023;220139;187013;
0221000;"Powiat wałbrzyski";83784;214088;77743;
0222000;"Powiat wołowski";142399;219285;133381;
0223000;"Powiat wrocławski";283156;285965;278519;
0224000;"Powiat ząbkowicki";106692;0;105879;
0225000;"Powiat zgorzelecki";130633;0;130621;
0226000;"Powiat złotoryjski";110643;0;110643;
0261000;"Powiat m.Jelenia Góra";159687;218749;150044;
0262000;"Powiat m.Legnica";185303;249884;161888;
0264000;"Powiat m.Wrocław";328678;346789;308130;
0265000;"Powiat m.Wałbrzych od 2013";103962;140875;103601;
0401000;"Powiat aleksandrowski";157443;175734;151056;
0402000;"Powiat brodnicki";173095;188961;145844;
0403000;"Powiat bydgoski";204957;286259;171755;
0404000;"Powiat chełmiński";122837;0;123296;
0405000;"Powiat golubsko-dobrzyński";115281;166758;108366;
0406000;"Powiat grudziądzki";88251;0;88251;
0407000;"Powiat inowrocławski";169004;267750;141208;
0408000;"Powiat lipnowski";92029;0;92029;
0409000;"Powiat mogileński";118413;199167;111776;
0410000;"Powiat nakielski";133187;184744;126331;
0411000;"Powiat radziejowski";105860;120594;99282;
0412000;"Powiat rypiński";135034;145560;132482;
0413000;"Powiat sępoleński";102635;0;102635;
0414000;"Powiat świecki";148228;207926;136684;
0415000;"Powiat toruński";155386;168542;142628;
0416000;"Powiat tucholski";114479;0;114479;
0417000;"Powiat wąbrzeski";90091;0;90091;
0418000;"Powiat włocławski";82282;130400;76935;
0419000;"Powiat żniński";133788;163372;120570;
0461000;"Powiat m.Bydgoszcz";234728;277504;211327;
0462000;"Powiat m.Grudziądz";164387;235128;145846;
0463000;"Powiat m.Toruń";248756;275275;239285;
0464000;"Powiat m.Włocławek";144105;172087;130850;
0601000;"Powiat bialski";155735;170764;148847;
0602000;"Powiat biłgorajski";169436;183215;166422;
0603000;"Powiat chełmski";105969;0;105969;
0604000;"Powiat hrubieszowski";104675;0;104675;
0605000;"Powiat janowski";130097;0;124177;
0606000;"Powiat krasnostawski";114379;0;114379;
0607000;"Powiat kraśnicki";112196;159176;110557;
0608000;"Powiat lubartowski";172895;206833;159989;
0609000;"Powiat lubelski";243475;235482;249636;
0610000;"Powiat łęczyński";178766;0;177620;
0611000;"Powiat łukowski";178854;0;176618;
0612000;"Powiat opolski";128178;0;129697;
0613000;"Powiat parczewski";143386;0;143386;
0614000;"Powiat puławski";188849;235847;178222;
0615000;"Powiat radzyński";157628;169401;143634;
0616000;"Powiat rycki";146184;229211;136958;
0617000;"Powiat świdnicki";179778;0;179778;
0618000;"Powiat tomaszowski";132023;142395;131591;
0619000;"Powiat włodawski";126210;163306;105976;
0620000;"Powiat zamojski";98977;0;98977;
0661000;"Powiat m.Biała Podlaska";158829;166918;153079;
0662000;"Powiat m.Chełm";150500;221404;145631;
0663000;"Powiat m.Lublin";281751;295756;258996;
0664000;"Powiat m.Zamość";190771;218189;175104;
0801000;"Powiat gorzowski";167664;224129;140993;
0802000;"Powiat krośnieński";141833;188935;121857;
0803000;"Powiat międzyrzecki";127087;177592;122036;
0804000;"Powiat nowosolski";129646;179803;112723;
0805000;"Powiat słubicki";156665;173258;148369;
0806000;"Powiat strzelecko-drezdenecki";139048;188193;131452;
0807000;"Powiat sulęciński";113315;0;113499;
0808000;"Powiat świebodziński";142734;165912;136296;
0809000;"Powiat zielonogórski";127637;163501;122601;
0810000;"Powiat żagański";105546;101651;105595;
0811000;"Powiat żarski";144345;226366;123897;
0812000;"Powiat wschowski";114712;0;113128;
0861000;"Powiat m.Gorzów Wielkopolski";181760;196864;168265;
0862000;"Powiat m.Zielona Góra";207504;237216;183958;
1001000;"Powiat bełchatowski";152512;127233;153428;
1002000;"Powiat kutnowski";191309;240326;158170;
1003000;"Powiat łaski";117106;0;117106;
1004000;"Powiat łęczycki";122596;0;122596;
1005000;"Powiat łowicki";167907;227667;136098;
1006000;"Powiat łódzki wschodni";126978;0;126978;
1007000;"Powiat opoczyński";143235;117901;144534;
1008000;"Powiat pabianicki";150216;222714;134937;
1009000;"Powiat pajęczański";143636;0;143636;
1010000;"Powiat piotrkowski";81393;0;81393;
1011000;"Powiat poddębicki";137127;147992;135089;
1012000;"Powiat radomszczański";158804;192504;137695;
1013000;"Powiat rawski";171116;0;171116;
1014000;"Powiat sieradzki";157666;206095;148764;
1015000;"Powiat skierniewicki";0;0;0;
1016000;"Powiat tomaszowski";142165;168305;140674;
1017000;"Powiat wieluński";217282;241730;170424;
1018000;"Powiat wieruszowski";139477;154273;120452;
1019000;"Powiat zduńskowolski";134247;133000;134294;
1020000;"Powiat zgierski";149781;219219;136141;
1021000;"Powiat brzeziński";157634;211149;134493;
1061000;"Powiat m.Łódź";233053;293734;195252;
1062000;"Powiat m.Piotrków Trybunalski";145340;164094;143331;
1063000;"Powiat m.Skierniewice";198821;236828;175828;
1201000;"Powiat bocheński";207524;258619;186010;
1202000;"Powiat brzeski";175339;200856;167636;
1203000;"Powiat chrzanowski";136452;99900;136873;
1204000;"Powiat dąbrowski";104881;0;104881;
1205000;"Powiat gorlicki";139406;0;138913;
1206000;"Powiat krakowski";286652;306844;261047;
1207000;"Powiat limanowski";164163;0;164163;
1208000;"Powiat miechowski";150720;184742;136395;
1209000;"Powiat myślenicki";255951;262332;247272;
1210000;"Powiat nowosądecki";318187;482763;199622;
1211000;"Powiat nowotarski";250061;280180;218329;
1212000;"Powiat olkuski";143273;155400;143037;
1213000;"Powiat oświęcimski";162877;218796;137904;
1214000;"Powiat proszowicki";148272;0;138789;
1215000;"Powiat suski";140798;0;140636;
1216000;"Powiat tarnowski";143075;0;155767;
1217000;"Powiat tatrzański";447742;614806;410041;
1218000;"Powiat wadowicki";184065;310502;167483;
1219000;"Powiat wielicki";272332;273380;269167;
1261000;"Powiat m.Kraków";336488;331970;347120;
1262000;"Powiat m.Nowy Sącz";198437;214664;191752;
1263000;"Powiat m.Tarnów";169188;214587;156123;
1401000;"Powiat białobrzeski";178735;0;173506;
1402000;"Powiat ciechanowski";145013;157166;131098;
1403000;"Powiat garwoliński";129113;0;129113;
1404000;"Powiat gostyniński";132841;166095;124144;
1405000;"Powiat grodziski";274369;274747;274140;
1406000;"Powiat grójecki";183673;200824;164771;
1407000;"Powiat kozienicki";154456;231653;136338;
1408000;"Powiat legionowski";276593;296283;259376;
1409000;"Powiat lipski";105471;0;105471;
1410000;"Powiat łosicki";116885;0;118708;
1411000;"Powiat makowski";99151;0;99151;
1412000;"Powiat miński";250059;264481;214414;
1413000;"Powiat mławski";162466;178526;150726;
1414000;"Powiat nowodworski";200127;220184;184321;
1416000;"Powiat ostrowski";151776;0;151776;
1417000;"Powiat otwocki";284863;308537;274013;
1418000;"Powiat piaseczyński";355107;428339;346398;
1419000;"Powiat płocki";140474;240201;108743;
1420000;"Powiat płoński";137179;163756;134178;
1421000;"Powiat pruszkowski";318352;325970;308082;
1422000;"Powiat przasnyski";140866;206390;126825;
1423000;"Powiat przysuski";111323;0;111323;
1424000;"Powiat pułtuski";149695;178881;129186;
1425000;"Powiat radomski";93699;147543;91944;
1426000;"Powiat siedlecki";226421;0;226421;
1427000;"Powiat sierpecki";157852;172617;117850;
1428000;"Powiat sochaczewski";164777;187870;163735;
1429000;"Powiat sokołowski";143001;160541;132797;
1430000;"Powiat szydłowiecki";115773;0;116207;
1432000;"Powiat warszawski zachodni";372004;377905;359082;
1433000;"Powiat węgrowski";126556;0;126556;
1434000;"Powiat wołomiński";314563;342653;283757;
1435000;"Powiat wyszkowski";223431;247552;207063;
1436000;"Powiat zwoleński";111942;0;111942;
1437000;"Powiat żuromiński";146181;384142;124548;
1438000;"Powiat żyrardowski";192846;261813;139972;
1461000;"Powiat m.Ostrołęka";149721;191015;142262;
1462000;"Powiat m.Płock";183522;211212;163283;
1463000;"Powiat m.Radom";177491;220740;153143;
1464000;"Powiat m.Siedlce";214408;228588;195025;
1465000;"Powiat m. st. Warszawa";498214;512957;491003;
1601000;"Powiat brzeski";138640;187947;128659;
1602000;"Powiat głubczycki";83856;0;83856;
1603000;"Powiat kędzierzyńsko-kozielski";112453;171925;110938;
1604000;"Powiat kluczborski";132657;217962;116842;
1605000;"Powiat krapkowicki";141426;205918;129866;
1606000;"Powiat namysłowski";157994;189283;132555;
1607000;"Powiat nyski";127632;206513;126562;
1608000;"Powiat oleski";118979;0;118979;
1609000;"Powiat opolski";136087;233586;132705;
1610000;"Powiat prudnicki";84125;0;84125;
1611000;"Powiat strzelecki";122465;0;122410;
1661000;"Powiat m.Opole";245452;264159;232918;
1801000;"Powiat bieszczadzki";106984;0;106984;
1802000;"Powiat brzozowski";127374;0;127374;
1803000;"Powiat dębicki";165746;229080;148254;
1804000;"Powiat jarosławski";163890;216755;136507;
1805000;"Powiat jasielski";124930;194919;120987;
1806000;"Powiat kolbuszowski";191949;204311;134633;
1807000;"Powiat krośnieński";115832;158458;98281;
1808000;"Powiat leżajski";95047;0;95047;
1809000;"Powiat lubaczowski";113742;0;113742;
1810000;"Powiat łańcucki";198795;225451;184177;
1811000;"Powiat mielecki";194210;285541;172030;
1812000;"Powiat niżański";134693;0;134693;
1813000;"Powiat przemyski";127940;0;127940;
1814000;"Powiat przeworski";133571;0;133873;
1815000;"Powiat ropczycko-sędziszowski";186595;209459;146310;
1816000;"Powiat rzeszowski";216359;222006;204946;
1817000;"Powiat sanocki";147026;177810;146171;
1818000;"Powiat stalowowolski";154824;233797;151415;
1819000;"Powiat strzyżowski";164754;174536;151416;
1820000;"Powiat tarnobrzeski";138046;214143;116095;
1821000;"Powiat leski";129193;0;126350;
1861000;"Powiat m.Krosno";147586;205867;143059;
1862000;"Powiat m.Przemyśl";149083;231970;130025;
1863000;"Powiat m.Rzeszów";245863;253896;235769;
1864000;"Powiat m.Tarnobrzeg";165232;212696;132132;
2001000;"Powiat augustowski";194594;285150;178468;
2002000;"Powiat białostocki";186749;219875;151381;
2003000;"Powiat bielski";210076;235119;127793;
2004000;"Powiat grajewski";156144;176835;126259;
2005000;"Powiat hajnowski";96628;0;96628;
2006000;"Powiat kolneński";134000;177547;114758;
2007000;"Powiat łomżyński";86093;0;86093;
2008000;"Powiat moniecki";123857;0;123857;
2009000;"Powiat sejneński";122333;0;122333;
2010000;"Powiat siemiatycki";165743;202047;135921;
2011000;"Powiat sokólski";133174;165149;129048;
2012000;"Powiat suwalski";113510;125788;109045;
2013000;"Powiat wysokomazowiecki";231144;256550;167630;
2014000;"Powiat zambrowski";162213;183104;154591;
2061000;"Powiat m.Białystok";238171;252537;224462;
2062000;"Powiat m.Łomża";200098;214905;182579;
2063000;"Powiat m.Suwałki";199547;210259;183427;
2201000;"Powiat bytowski";157780;174616;152111;
2202000;"Powiat chojnicki";193528;223434;170110;
2203000;"Powiat człuchowski";108290;0;107682;
2204000;"Powiat gdański";245194;233939;262676;
2205000;"Powiat kartuski";258987;257909;262951;
2206000;"Powiat kościerski";182387;215414;160259;
2207000;"Powiat kwidzyński";148755;241044;141221;
2208000;"Powiat lęborski";163306;214201;149333;
2209000;"Powiat malborski";162290;203707;143675;
2210000;"Powiat nowodworski";194333;270073;172884;
2211000;"Powiat pucki";303034;299549;308953;
2212000;"Powiat słupski";202417;246590;184986;
2213000;"Powiat starogardzki";176568;210893;147170;
2214000;"Powiat tczewski";193798;209041;183923;
2215000;"Powiat wejherowski";240963;250838;230918;
2216000;"Powiat sztumski";100207;0;100262;
2261000;"Powiat m.Gdańsk";361493;358875;366376;
2262000;"Powiat m.Gdynia";403997;472259;356560;
2263000;"Powiat m.Słupsk";191584;220126;175332;
2264000;"Powiat m.Sopot";750364;1016167;674045;
2401000;"Powiat będziński";142445;272981;126330;
2402000;"Powiat bielski";164026;177894;154977;
2403000;"Powiat cieszyński";196425;289878;183240;
2404000;"Powiat częstochowski";94432;0;94432;
2405000;"Powiat gliwicki";150479;314726;134417;
2406000;"Powiat kłobucki";122138;0;116870;
2407000;"Powiat lubliniecki";154208;251333;131083;
2408000;"Powiat mikołowski";172203;241863;158838;
2409000;"Powiat myszkowski";143612;239954;103574;
2410000;"Powiat pszczyński";150214;171480;146534;
2411000;"Powiat raciborski";121236;106751;121627;
2412000;"Powiat rybnicki";105424;0;105078;
2413000;"Powiat tarnogórski";155850;188979;141612;
2414000;"Powiat bieruńsko-lędziński";133189;112806;135357;
2415000;"Powiat wodzisławski";98074;0;98074;
2416000;"Powiat zawierciański";95487;0;95487;
2417000;"Powiat żywiecki";175797;211617;165291;
2461000;"Powiat m.Bielsko-Biała";220113;236983;215488;
2462000;"Powiat m.Bytom";101835;153179;100107;
2463000;"Powiat m.Chorzów";168143;237370;150149;
2464000;"Powiat m.Częstochowa";180570;273165;162558;
2465000;"Powiat m.Dąbrowa Górnicza";169042;357781;148794;
2466000;"Powiat m.Gliwice";204351;287652;174357;
2467000;"Powiat m.Jastrzębie-Zdrój";115206;0;114859;
2468000;"Powiat m.Jaworzno";152401;176552;150997;
2469000;"Powiat m.Katowice";221220;247474;218519;
2470000;"Powiat m.Mysłowice";154847;265393;135634;
2471000;"Powiat m.Piekary Śląskie";132717;211225;114350;
2472000;"Powiat m.Ruda Śląska";115127;159977;112736;
2473000;"Powiat m.Rybnik";163828;254552;147192;
2474000;"Powiat m.Siemianowice Śląskie";134475;175149;124522;
2475000;"Powiat m.Sosnowiec";134023;228590;122827;
2476000;"Powiat m.Świętochłowice";113938;219463;109897;
2477000;"Powiat m.Tychy";216722;247541;199066;
2478000;"Powiat m.Zabrze";126854;226479;118942;
2479000;"Powiat m.Żory";176991;232288;164770;
2601000;"Powiat buski";158350;225497;141972;
2602000;"Powiat jędrzejowski";128944;218125;125024;
2603000;"Powiat kazimierski";94700;0;94700;
2604000;"Powiat kielecki";130385;0;130385;
2605000;"Powiat konecki";126176;152250;123063;
2606000;"Powiat opatowski";145054;193499;81469;
2607000;"Powiat ostrowiecki";104784;0;104784;
2608000;"Powiat pińczowski";108877;0;109769;
2609000;"Powiat sandomierski";137947;0;137947;
2610000;"Powiat skarżyski";117890;116000;117921;
2611000;"Powiat starachowicki";144829;211710;140413;
2612000;"Powiat staszowski";116794;0;117719;
2613000;"Powiat włoszczowski";113949;0;113949;
2661000;"Powiat m.Kielce";226290;263095;197590;
2801000;"Powiat bartoszycki";111246;183016;100993;
2802000;"Powiat braniewski";109075;179629;105548;
2803000;"Powiat działdowski";142130;169481;124228;
2804000;"Powiat elbląski";127134;0;126876;
2805000;"Powiat ełcki";177234;241792;159468;
2806000;"Powiat giżycki";173653;285099;148712;
2807000;"Powiat iławski";217373;255975;138171;
2808000;"Powiat kętrzyński";99967;172200;94660;
2809000;"Powiat lidzbarski";118368;0;118206;
2810000;"Powiat mrągowski";136610;157506;134992;
2811000;"Powiat nidzicki";127922;169838;108980;
2812000;"Powiat nowomiejski";134716;169232;114674;
2813000;"Powiat olecki";158371;208961;121659;
2814000;"Powiat olsztyński";195943;219212;152458;
2815000;"Powiat ostródzki";156840;203733;138134;
2816000;"Powiat piski";100915;148777;99342;
2817000;"Powiat szczycieński";135190;147344;130651;
2818000;"Powiat gołdapski";128703;160179;111841;
2819000;"Powiat węgorzewski";134319;233511;122073;
2861000;"Powiat m.Elbląg";195788;256072;172005;
2862000;"Powiat m.Olsztyn";246681;277463;234151;
3001000;"Powiat chodzieski";135670;188045;133943;
3002000;"Powiat czarnkowsko-trzcianecki";137080;179835;135201;
3003000;"Powiat gnieźnieński";171161;198343;151803;
3004000;"Powiat gostyński";166996;179814;152325;
3005000;"Powiat grodziski";146489;153748;139678;
3006000;"Powiat jarociński";170756;196084;143184;
3007000;"Powiat kaliski";143458;0;143458;
3008000;"Powiat kępiński";189915;193505;182596;
3009000;"Powiat kolski";128274;0;127336;
3010000;"Powiat koniński";125158;145339;111704;
3011000;"Powiat kościański";166096;186784;142890;
3012000;"Powiat krotoszyński";174269;196147;160595;
3013000;"Powiat leszczyński";213142;225928;203783;
3014000;"Powiat międzychodzki";134573;159673;131286;
3015000;"Powiat nowotomyski";166907;181528;155773;
3016000;"Powiat obornicki";181288;202930;164722;
3017000;"Powiat ostrowski";164070;180674;147868;
3018000;"Powiat ostrzeszowski";180263;190598;156838;
3019000;"Powiat pilski";190012;215234;180007;
3020000;"Powiat pleszewski";180791;221025;177811;
3021000;"Powiat poznański";287614;285558;292261;
3022000;"Powiat rawicki";159376;186894;130240;
3023000;"Powiat słupecki";135961;0;134747;
3024000;"Powiat szamotulski";185362;196636;174984;
3025000;"Powiat średzki";175960;184884;154809;
3026000;"Powiat śremski";187069;196845;175609;
3027000;"Powiat turecki";136865;153356;135658;
3028000;"Powiat wągrowiecki";150440;177414;131895;
3029000;"Powiat wolsztyński";199992;227890;175404;
3030000;"Powiat wrzesiński";180402;183221;173974;
3031000;"Powiat złotowski";140301;195482;126123;
3061000;"Powiat m.Kalisz";161860;189463;149673;
3062000;"Powiat m.Konin";157541;206633;143326;
3063000;"Powiat m.Leszno";223424;255392;207715;
3064000;"Powiat m.Poznań";328466;340371;308683;
3201000;"Powiat białogardzki";111298;203206;99527;
3202000;"Powiat choszczeński";121819;213120;103672;
3203000;"Powiat drawski";120597;268233;118177;
3204000;"Powiat goleniowski";181305;199534;180585;
