"Kod";"Nazwa";"ogółem;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2018;[zł]";
0201000;"Powiat bolesławiecki";2693;3552;2563;
0202000;"Powiat dzierżoniowski";2193;3051;2169;
0203000;"Powiat głogowski";3498;3872;3285;
0204000;"Powiat górowski";1922;0;1922;
0205000;"Powiat jaworski";2517;0;2518;
0206000;"Powiat jeleniogórski";3881;7897;2556;
0207000;"Powiat kamiennogórski";1652;0;1643;
0208000;"Powiat kłodzki";2857;6781;2189;
0209000;"Powiat legnicki";2262;2908;2201;
0210000;"Powiat lubański";2194;3513;2118;
0211000;"Powiat lubiński";3625;4282;3294;
0212000;"Powiat lwówecki";1720;0;1720;
0213000;"Powiat milicki";2622;2876;2571;
0214000;"Powiat oleśnicki";3520;4200;3170;
0215000;"Powiat oławski";3731;3818;3687;
0216000;"Powiat polkowicki";2936;3962;2764;
0217000;"Powiat strzeliński";3155;4299;2615;
0218000;"Powiat średzki";3819;4446;3246;
0219000;"Powiat świdnicki";2895;4119;2537;
0220000;"Powiat trzebnicki";3512;4003;3277;
0221000;"Powiat wałbrzyski";1676;3203;1579;
0222000;"Powiat wołowski";2653;3577;2527;
0223000;"Powiat wrocławski";4393;4387;4402;
0224000;"Powiat ząbkowicki";1906;0;1890;
0225000;"Powiat zgorzelecki";2540;0;2537;
0226000;"Powiat złotoryjski";2164;0;2164;
0261000;"Powiat m.Jelenia Góra";2735;3622;2584;
0262000;"Powiat m.Legnica";2997;3813;2677;
0264000;"Powiat m.Wrocław";5857;6115;5558;
0265000;"Powiat m.Wałbrzych od 2013";2086;3037;2077;
0401000;"Powiat aleksandrowski";3401;3695;3294;
0402000;"Powiat brodnicki";3348;3695;2769;
0403000;"Powiat bydgoski";3722;4618;3287;
0404000;"Powiat chełmiński";2614;0;2614;
0405000;"Powiat golubsko-dobrzyński";2572;3391;2450;
0406000;"Powiat grudziądzki";1802;0;1802;
0407000;"Powiat inowrocławski";3331;4618;2899;
0408000;"Powiat lipnowski";2075;0;2075;
0409000;"Powiat mogileński";2332;3066;2253;
0410000;"Powiat nakielski";2611;3554;2483;
0411000;"Powiat radziejowski";2156;2606;1971;
0412000;"Powiat rypiński";2621;3004;2535;
0413000;"Powiat sępoleński";2018;0;2018;
0414000;"Powiat świecki";2916;3437;2791;
0415000;"Powiat toruński";2888;3101;2677;
0416000;"Powiat tucholski";2092;0;2092;
0417000;"Powiat wąbrzeski";2001;0;2001;
0418000;"Powiat włocławski";1766;2778;1653;
0419000;"Powiat żniński";2791;3700;2430;
0461000;"Powiat m.Bydgoszcz";4579;5234;4202;
0462000;"Powiat m.Grudziądz";2979;3480;2809;
0463000;"Powiat m.Toruń";4724;5162;4566;
0464000;"Powiat m.Włocławek";2923;3303;2728;
0601000;"Powiat bialski";2678;2841;2599;
0602000;"Powiat biłgorajski";3209;3351;3177;
0603000;"Powiat chełmski";2026;0;2026;
0604000;"Powiat hrubieszowski";2186;0;2186;
0605000;"Powiat janowski";2637;0;2566;
0606000;"Powiat krasnostawski";2503;0;2503;
0607000;"Powiat kraśnicki";2477;2701;2467;
0608000;"Powiat lubartowski";3387;3884;3186;
0609000;"Powiat lubelski";4008;4121;3929;
0610000;"Powiat łęczyński";3305;0;3268;
0611000;"Powiat łukowski";3507;0;3485;
