"Kod";"Nazwa";"ogółem;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2018;[zł]";
0201000;"Powiat bolesławiecki";2818;3745;2536;
0202000;"Powiat dzierżoniowski";2248;3046;2218;
0203000;"Powiat głogowski";3550;3920;3269;
0204000;"Powiat górowski";1678;0;1678;
0205000;"Powiat jaworski";2625;0;2627;
0206000;"Powiat jeleniogórski";3114;8418;2259;
0207000;"Powiat kamiennogórski";1587;0;1587;
0208000;"Powiat kłodzki";2311;5080;2074;
0209000;"Powiat legnicki";2403;2900;2356;
0210000;"Powiat lubański";2246;3068;2226;
0211000;"Powiat lubiński";3708;4300;3235;
0212000;"Powiat lwówecki";1764;0;1764;
0213000;"Powiat milicki";2558;2962;2513;
0214000;"Powiat oleśnicki";3767;4340;3313;
0215000;"Powiat oławski";3886;3890;3854;
0216000;"Powiat polkowicki";3098;3903;2965;
0217000;"Powiat strzeliński";3529;4309;2607;
0218000;"Powiat średzki";4260;4480;3376;
0219000;"Powiat świdnicki";2966;4090;2610;
0220000;"Powiat trzebnicki";3871;4020;3322;
0221000;"Powiat wałbrzyski";1371;2934;1344;
0222000;"Powiat wołowski";2807;3590;2660;
0223000;"Powiat wrocławski";4525;4517;4567;
0224000;"Powiat ząbkowicki";1829;0;1823;
0225000;"Powiat zgorzelecki";2681;0;2675;
0226000;"Powiat złotoryjski";2451;0;2451;
0261000;"Powiat m.Jelenia Góra";2918;3936;2751;
0262000;"Powiat m.Legnica";3117;3766;2802;
0264000;"Powiat m.Wrocław";5906;5983;5777;
0265000;"Powiat m.Wałbrzych od 2013";2115;3122;2102;
0401000;"Powiat aleksandrowski";3475;3543;3283;
0402000;"Powiat brodnicki";3465;3586;2840;
0403000;"Powiat bydgoski";3632;4586;3125;
0404000;"Powiat chełmiński";2556;0;2543;
0405000;"Powiat golubsko-dobrzyński";2508;3403;2355;
0406000;"Powiat grudziądzki";1829;0;1829;
0407000;"Powiat inowrocławski";3252;4480;3049;
0408000;"Powiat lipnowski";2096;0;2096;
0409000;"Powiat mogileński";2333;3054;2270;
0410000;"Powiat nakielski";2716;3694;2550;
0411000;"Powiat radziejowski";2281;2600;2005;
0412000;"Powiat rypiński";2676;2988;2559;
0413000;"Powiat sępoleński";2011;0;2011;
0414000;"Powiat świecki";3089;3471;2790;
0415000;"Powiat toruński";2997;3084;2647;
0416000;"Powiat tucholski";2203;0;2203;
0417000;"Powiat wąbrzeski";2052;0;2052;
0418000;"Powiat włocławski";1679;2921;1640;
0419000;"Powiat żniński";3162;3731;2505;
0461000;"Powiat m.Bydgoszcz";4610;5076;4237;
0462000;"Powiat m.Grudziądz";3028;3482;2917;
0463000;"Powiat m.Toruń";4796;5068;4612;
0464000;"Powiat m.Włocławek";2817;3380;2632;
0601000;"Powiat bialski";2710;2710;2661;
0602000;"Powiat biłgorajski";3389;3569;3248;
0603000;"Powiat chełmski";2145;0;2145;
0604000;"Powiat hrubieszowski";2254;0;2254;
0605000;"Powiat janowski";2708;0;2703;
0606000;"Powiat krasnostawski";2635;0;2635;
0607000;"Powiat kraśnicki";2509;2702;2490;
0608000;"Powiat lubartowski";3445;3799;3242;
0609000;"Powiat lubelski";4212;4221;4122;
0610000;"Powiat łęczyński";3351;0;3288;
0611000;"Powiat łukowski";3377;0;3354;
0612000;"Powiat opolski";2636;0;2636;
0613000;"Powiat parczewski";2714;0;2714;
0614000;"Powiat puławski";3736;3904;3716;
0615000;"Powiat radzyński";3370;3415;2941;
0616000;"Powiat rycki";2806;3634;2731;
0617000;"Powiat świdnicki";3859;0;3859;
0618000;"Powiat tomaszowski";2503;2462;2526;
0619000;"Powiat włodawski";2759;3007;2162;
0620000;"Powiat zamojski";1850;0;1850;
0661000;"Powiat m.Biała Podlaska";2943;2905;3049;
0662000;"Powiat m.Chełm";2964;3954;2890;
0663000;"Powiat m.Lublin";5202;5235;5088;
0664000;"Powiat m.Zamość";3472;3730;3294;
0801000;"Powiat gorzowski";3181;3803;2492;
0802000;"Powiat krośnieński";2661;3459;2332;
0803000;"Powiat międzyrzecki";2509;3290;2406;
0804000;"Powiat nowosolski";2748;3426;2319;
0805000;"Powiat słubicki";3226;3543;2701;
0806000;"Powiat strzelecko-drezdenecki";2723;3206;2551;
0807000;"Powiat sulęciński";2152;0;2132;
0808000;"Powiat świebodziński";2898;3187;2693;
0809000;"Powiat zielonogórski";2532;2992;2452;
0810000;"Powiat żagański";2017;2857;2010;
0811000;"Powiat żarski";2728;3800;2444;
0812000;"Powiat wschowski";2134;0;2105;
0861000;"Powiat m.Gorzów Wielkopolski";3588;3731;3100;
0862000;"Powiat m.Zielona Góra";3863;3953;3453;
1001000;"Powiat bełchatowski";2801;2513;2808;
1002000;"Powiat kutnowski";3761;3866;3360;
1003000;"Powiat łaski";2511;0;2511;
1004000;"Powiat łęczycki";2761;0;2761;
1005000;"Powiat łowicki";3265;4616;2968;
1006000;"Powiat łódzki wschodni";2936;0;2936;
1007000;"Powiat opoczyński";2926;2418;2971;
1008000;"Powiat pabianicki";3035;4084;2911;
1009000;"Powiat pajęczański";3115;0;3115;
1010000;"Powiat piotrkowski";1670;0;1670;
