"Kod";"Nazwa";"ogółem;2019;[%]";
0201000;"Powiat bolesławiecki";3,8;
0202000;"Powiat dzierżoniowski";5,1;
0203000;"Powiat głogowski";7,0;
0204000;"Powiat górowski";14,1;
0205000;"Powiat jaworski";10,8;
0206000;"Powiat jeleniogórski";8,1;
0207000;"Powiat kamiennogórski";5,8;
0208000;"Powiat kłodzki";10,9;
0209000;"Powiat legnicki";8,7;
0210000;"Powiat lubański";6,9;
0211000;"Powiat lubiński";4,0;
0212000;"Powiat lwówecki";10,9;
0213000;"Powiat milicki";6,4;
0214000;"Powiat oleśnicki";5,2;
0215000;"Powiat oławski";4,3;
0216000;"Powiat polkowicki";4,3;
0217000;"Powiat strzeliński";9,6;
0218000;"Powiat średzki";5,0;
0219000;"Powiat świdnicki";5,6;
0220000;"Powiat trzebnicki";5,1;
0221000;"Powiat wałbrzyski";12,3;
0222000;"Powiat wołowski";10,6;
0223000;"Powiat wrocławski";1,6;
0224000;"Powiat ząbkowicki";9,3;
0225000;"Powiat zgorzelecki";4,8;
0226000;"Powiat złotoryjski";13,2;
0261000;"Powiat m.Jelenia Góra";3,2;
0262000;"Powiat m.Legnica";4,1;
0264000;"Powiat m.Wrocław";1,6;
0265000;"Powiat m.Wałbrzych od 2013";4,7;
0401000;"Powiat aleksandrowski";12,2;
0402000;"Powiat brodnicki";7,0;
0403000;"Powiat bydgoski";4,1;
0404000;"Powiat chełmiński";11,5;
0405000;"Powiat golubsko-dobrzyński";9,9;
0406000;"Powiat grudziądzki";11,1;
0407000;"Powiat inowrocławski";10,9;
0408000;"Powiat lipnowski";15,4;
0409000;"Powiat mogileński";9,7;
0410000;"Powiat nakielski";10,5;
0411000;"Powiat radziejowski";16,4;
0412000;"Powiat rypiński";10,0;
0413000;"Powiat sępoleński";11,6;
0414000;"Powiat świecki";6,9;
0415000;"Powiat toruński";9,4;
0416000;"Powiat tucholski";9,7;
0417000;"Powiat wąbrzeski";11,4;
0418000;"Powiat włocławski";14,2;
0419000;"Powiat żniński";9,3;
0461000;"Powiat m.Bydgoszcz";2,8;
0462000;"Powiat m.Grudziądz";8,2;
0463000;"Powiat m.Toruń";4,1;
0464000;"Powiat m.Włocławek";9,0;
0601000;"Powiat bialski";9,4;
0602000;"Powiat biłgorajski";5,0;
0603000;"Powiat chełmski";11,9;
0604000;"Powiat hrubieszowski";13,2;
0605000;"Powiat janowski";8,6;
0606000;"Powiat krasnostawski";10,9;
0607000;"Powiat kraśnicki";10,1;
0608000;"Powiat lubartowski";10,3;
0609000;"Powiat lubelski";5,7;
0610000;"Powiat łęczyński";5,2;
0611000;"Powiat łukowski";4,2;
0612000;"Powiat opolski";8,2;
0613000;"Powiat parczewski";6,6;
0614000;"Powiat puławski";5,1;
0615000;"Powiat radzyński";5,8;
0616000;"Powiat rycki";7,0;
0617000;"Powiat świdnicki";8,4;
0618000;"Powiat tomaszowski";7,0;
0619000;"Powiat włodawski";15,0;
0620000;"Powiat zamojski";8,2;
0661000;"Powiat m.Biała Podlaska";9,8;
0662000;"Powiat m.Chełm";10,7;
0663000;"Powiat m.Lublin";4,9;
0664000;"Powiat m.Zamość";8,7;
0801000;"Powiat gorzowski";3,6;
0802000;"Powiat krośnieński";8,0;
0803000;"Powiat międzyrzecki";9,4;
0804000;"Powiat nowosolski";6,1;
0805000;"Powiat słubicki";2,4;
0806000;"Powiat strzelecko-drezdenecki";9,8;
0807000;"Powiat sulęciński";5,7;
0808000;"Powiat świebodziński";3,5;
0809000;"Powiat zielonogórski";5,7;
0810000;"Powiat żagański";8,6;
0811000;"Powiat żarski";5,2;
0812000;"Powiat wschowski";7,7;
0861000;"Powiat m.Gorzów Wielkopolski";2,2;
0862000;"Powiat m.Zielona Góra";2,4;
1001000;"Powiat bełchatowski";4,8;
1002000;"Powiat kutnowski";8,0;
1003000;"Powiat łaski";7,1;
1004000;"Powiat łęczycki";6,6;
1005000;"Powiat łowicki";4,6;
1006000;"Powiat łódzki wschodni";6,2;
1007000;"Powiat opoczyński";5,8;
1008000;"Powiat pabianicki";6,2;
1009000;"Powiat pajęczański";7,0;
1010000;"Powiat piotrkowski";4,8;
1011000;"Powiat poddębicki";6,2;
1012000;"Powiat radomszczański";5,3;
1013000;"Powiat rawski";3,2;
1014000;"Powiat sieradzki";5,5;
1015000;"Powiat skierniewicki";3,6;
1016000;"Powiat tomaszowski";6,7;
1017000;"Powiat wieluński";5,8;
